Selection Result,Trial,Arena,Time bin,Velocity,Velocity,In zone,In zone,Zone alternation,Zone alternation,Zone alternation,Zone alternation,Distance moved 2,Acceleration,Acceleration
,,,,Center-point,Center-point,Inside / Center-point,Inside / Center-point,Center-point / Alternations,Center-point / Max alternations,Center-point / Direct revisits,Center-point / Indirect revisits,Center-point,Center-point,Center-point
,,,,Mean,Maximum,Frequency,Cumulative Duration,Frequency,Frequency,Frequency,Frequency,Total,Mean,Maximum
,,,,mm/s,mm/s,,s,,,,,mm,mm/s_,mm/s_
LD KO,Trial     6,B1,0:16:00-0:16:20,4.57041,127.612,1,3.38,0,0,0,0,91.4082,0.0112233,5419.78
LD KO,Trial     6,B1,0:16:20-0:16:40,6.40714,41.5797,4,4.86,0,0,0,0,128.143,0.233219,1935.39
LD KO,Trial     6,B1,0:16:40-0:17:00,5.55691,62.0878,1,1.04,0,0,0,0,110.916,-0.083243,1769.51
LD KO,Trial     6,B1,0:17:00-0:17:20,7.04491,52.9201,1,0.14,0,0,0,0,140.898,0.602336,1594.22
LD KO,Trial     6,B1,0:17:20-0:17:40,4.86451,39.2765,3,3.88,0,0,0,0,97.2903,-0.649186,1454.33
LD KO,Trial     6,B1,0:17:40-0:18:00,4.35712,24.638,0,0,0,0,0,0,87.1424,0.303214,994.594
LD KO,Trial     6,B1,0:18:00-0:18:20,5.58069,31.2913,0,0,0,0,0,0,111.614,-0.347374,1038.93
LD KOKO,Trial     4,A1,0:15:00-0:15:20,6.63644,125.491,0,0,0,0,0,0,132.729,-0.0364563,5738.5
LD KOKO,Trial     4,A1,0:15:20-0:15:40,5.83548,78.52,4,4.32,0,0,0,0,116.476,-0.11068,3812.88
LD KOKO,Trial     4,A1,0:15:40-0:16:00,6.10761,124.434,2,3.26,0,0,0,0,122.152,-0.0213514,5105.28
LD KOKO,Trial     4,A1,0:16:00-0:16:20,5.70623,135.618,2,3.02,0,0,0,0,114.125,-0.0325056,5868.45
LD KOKO,Trial     4,A1,0:16:20-0:16:40,5.22198,68.1469,2,6.46,0,0,0,0,104.44,0.0121852,3106.1
LD KOKO,Trial     4,A1,0:16:40-0:17:00,6.20562,104.096,2,2,0,0,0,0,123.864,0.407597,4992.99
LD KOKO,Trial     4,A1,0:17:00-0:17:20,5.67056,86.6994,6,3.84,0,0,0,0,113.411,-0.218551,3577.87
LD KOKO,Trial     4,A1,0:17:20-0:17:40,6.3161,184.512,2,0.08,0,0,0,0,126.322,-0.00623115,8663.87
LD KOKO,Trial     4,A1,0:17:40-0:18:00,5.92182,117.443,0,0,0,0,0,0,118.436,0.0455546,3161.41
